trip_distance,passenger_count,tip_amount
1.9,1,2.45
4.04,1,0.0
0.8,1,2.0
1.8,1,2.46
2.77,1,3.36
0.82,2,1.76
1.5,1,2.25
0.53,1,1.86
4.7,1,4.15
0.84,2,1.96
11.05,2,0.0
4.2,2,0.0
0.8,2,1.26
8.46,1,0.0
2.69,1,3.0
6.96,1,0.0
2.3,1,1.92
2.42,1,2.96
1.93,5,2.66
1.57,1,2.26
18.8,2,12.25
3.7,4,2.97
4.73,1,3.0
16.2,2,10.05
2.69,1,1.0
2.27,1,2.0
5.17,1,4.36
0.5,1,1.65
2.1,1,0.0
3.01,1,0.0
0.51,1,0.73
1.46,1,0.0
1.22,1,0.0
2.42,1,2.0
1.4,2,0.0
1.88,1,0.0
2.73,1,2.86
1.25,1,1.0
5.3,1,4.0
5.16,1,0.0
5.15,3,4.26
3.5,1,3.35
1.32,2,2.16
4.44,6,0.0
0.6,1,1.0
0.67,2,1.0
1.81,6,0.0
1.26,1,1.96
1.11,2,1.96
21.07,1,12.28
0.53,1,0.5
1.96,1,2.0
2.59,5,1.5
0.6,1,1.75
2.22,1,0.0
1.59,1,1.0
2.39,1,0.0
0.57,1,2.34
0.39,1,1.46
1.79,5,2.36
0.45,2,1.82
3.0,1,2.45
1.28,1,2.46
0.97,1,2.45
0.82,2,0.0
13.15,1,0.0
1.33,2,1.0
2.16,1,2.56
5.1,1,4.15
0.48,3,2.55
1.82,2,2.06
0.72,1,0.0
2.08,1,0.04
7.21,1,4.75
2.0,1,2.45
1.28,1,2.66
1.21,1,0.0
2.17,6,2.0
0.8,1,0.0
0.9,3,0.0
1.11,2,1.86
1.3,2,2.15
2.29,1,3.16
0.45,1,1.0
8.31,1,6.82
2.4,2,3.15
0.95,1,0.0
1.3,1,1.85
1.01,1,1.96
1.3,1,2.66
10.7,1,0.0
5.7,1,6.15
0.5,4,1.76
2.05,6,2.76
0.98,1,0.0
1.8,1,0.0
2.09,2,2.46
1.4,1,2.45
3.96,1,0.0
1.2,1,2.15
0.55,2,0.0
5.5,2,4.46
33.26,4,28.18
0.67,1,1.56
0.0,1,12.56
9.75,1,0.0
7.98,1,7.45
10.3,0,0.0
1.91,2,2.66
0.4,1,1.0
0.9,1,0.0
11.35,2,0.0
1.34,1,0.0
2.2,2,0.0
1.51,2,2.26
1.05,5,2.45
3.01,1,3.66
0.72,1,0.0
10.86,1,7.82
9.74,2,7.58
1.74,1,0.0
0.8,1,0.0
3.34,1,4.08
3.2,1,2.2
3.23,2,3.46
1.64,5,0.0
1.2,2,2.06
1.12,1,2.06
0.56,1,1.2
3.51,2,0.0
5.98,1,0.0
1.9,1,0.0
0.72,1,0.0
0.8,1,0.0
1.25,1,2.32
1.5,2,2.65
1.03,1,2.16
